Feature,Gain,Cover,Frequency
`Omics Absolute CN Gene Public 24Q4 KMT2A`,0.00449915382327149,0.000397677563031894,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 EPAS1`,0.00440304950297351,0.00097431002942814,0.000730994152046784
`Expression Public 25Q3 POLQ`,0.00412700665233421,0.00119303268909568,0.00146198830409357
`Expression Public 25Q3 MAP3K1`,0.00388062607444288,0.00343991092022588,0.00365497076023392
`Expression Public 25Q3 CDK12`,0.00386346642826901,0.0056072536387497,0.00804093567251462
`Expression Public 25Q3 LIFR`,0.00386023797263944,0.00174978127734033,0.00219298245614035
`Expression Public 25Q3 BRCA2`,0.00377996775178804,0.00125268432355047,0.00146198830409357
`Expression Public 25Q3 AKT3`,0.00359831896060888,0.00143163922691482,0.00219298245614035
`Expression Public 25Q3 FGFRL1`,0.00357016120522208,0.00550783424799173,0.00584795321637427
`Omics Absolute CN Gene Public 24Q4 PIK3C2G`,0.00355124037160724,0.00165036188658236,0.00146198830409357
`Expression Public 25Q3 STAT5A`,0.00348179947465551,0.00242583313449455,0.00292397660818713
`Expression Public 25Q3 INPP4B`,0.00347053712912461,0.00457329197486678,0.00584795321637427
`Expression Public 25Q3 MAML3`,0.00324777630976705,0.00495108565974708,0.0043859649122807
`Expression Public 25Q3 SRC`,0.00313459702696098,0.00147140698321801,0.00146198830409357
`Expression Public 25Q3 POLD1`,0.00311206040452359,0.00604469895808478,0.0043859649122807
`Expression Public 25Q3 RET`,0.00308988521546387,0.00292293008828442,0.00365497076023392
`Expression Public 25Q3 ELF4`,0.00301844770466011,0.00566690527320449,0.00584795321637427
`Expression Public 25Q3 ETV7`,0.00297005259021515,0.00459317585301837,0.00584795321637427
`Expression Public 25Q3 RASGRF1`,0.00290542323872757,0.00115326493279249,0.00219298245614035
`Expression Public 25Q3 KMT2D`,0.00264196886236479,0.00276385906307166,0.00292397660818713
`Expression Public 25Q3 RUNX2`,0.0026281206094313,0.00230652986558498,0.00219298245614035
`Expression Public 25Q3 FANCD2`,0.00260015753917306,0.00345979479837748,0.0043859649122807
`Omics Absolute CN Gene Public 24Q4 ETV7`,0.00224964209768776,0.00131233595800525,0.00146198830409357
`Expression Public 25Q3 ANK1`,0.00218134413921495,0.00463294360932156,0.0043859649122807
`Expression Public 25Q3 USP9X`,0.00212760289547751,0.00439433707150243,0.00511695906432749
`Expression Public 25Q3 STAT3`,0.00210158071081702,0.000795355126063788,0.000730994152046784
`Expression Public 25Q3 CREB1`,0.00203045283376031,0.00033802592857711,0.000730994152046784
`Expression Public 25Q3 CHEK1`,0.00200790646251603,0.00141175534876322,0.00146198830409357
`Expression Public 25Q3 COL2A1`,0.00199666506964471,0.00457329197486678,0.00511695906432749
`Expression Public 25Q3 TCF4`,0.00190756417580978,0.00105384554203452,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 FBXW7`,0.00181319979928404,0.00101407778573133,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 COL1A1`,0.00178458064887284,0.00171001352103714,0.00219298245614035
`Expression Public 25Q3 YES1`,0.00177230777403117,0.00232641374373658,0.00292397660818713
`Expression Public 25Q3 TGFB1`,0.00162749303086254,0.00377793684880299,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 BMPR1A`,0.00149712238188408,0.000835122882366977,0.000730994152046784
`Expression Public 25Q3 NF1`,0.00146656452844384,0.00230652986558498,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 CDK6`,0.00137194639192991,0.000516980831941462,0.000730994152046784
`Expression Public 25Q3 E2F2`,0.00136856108236269,0.00230652986558498,0.00219298245614035
`Expression Public 25Q3 BLK`,0.00136548817112955,0.00105384554203452,0.00219298245614035
`Expression Public 25Q3 APP`,0.00135259792035332,0.00475224687823113,0.00584795321637427
`Expression Public 25Q3 TIMP2`,0.00133704318970108,0.000914658394973356,0.00146198830409357
`Expression Public 25Q3 ANGPT1`,0.00131814665535116,0.000676051857154219,0.00146198830409357
`Expression Public 25Q3 IDH1`,0.00130968658253388,0.00282351069752645,0.00292397660818713
`Expression Public 25Q3 ERBB4`,0.00130430756920624,0.00210769108406904,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 ANK1`,0.00130332657732529,0.000497096953789867,0.000730994152046784
`Expression Public 25Q3 RHOH`,0.00128013300170746,0.0026047880378589,0.00219298245614035
`Expression Public 25Q3 BRIP1`,0.00124919596333074,0.0011134971764893,0.00146198830409357
`Expression Public 25Q3 TP53`,0.00120864019916315,0.0011134971764893,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 RHOB`,0.00110367574120412,0.00097431002942814,0.000730994152046784
`Expression Public 25Q3 AKT1`,0.00108643875934577,0.00206792332776585,0.00292397660818713
`Expression Public 25Q3 GATA2`,0.00107923642812134,0.00544818261353695,0.00584795321637427
`Expression Public 25Q3 BMPR1B`,0.00104012254159306,0.00483178239083751,0.0043859649122807
`Omics Absolute CN Gene Public 24Q4 CDK7`,0.000986934651774826,0.000596516344547841,0.000730994152046784
`Expression Public 25Q3 NBN`,0.000898826681196441,0.00123280044539887,0.00146198830409357
`Expression Public 25Q3 RHOB`,0.000854389800603968,0.0011134971764893,0.00146198830409357
`Expression Public 25Q3 HLA-B`,0.000835466056897517,0.00192873618070468,0.00292397660818713
`Expression Public 25Q3 DNMT3A`,0.000820291820722986,0.000457329197486678,0.00146198830409357
`Expression Public 25Q3 GNAQ`,0.000774679554130169,0.00252525252525253,0.00292397660818713
`Expression Public 25Q3 GPATCH2L`,0.000749896995742256,0.00180943291179512,0.00146198830409357
`Expression Public 25Q3 VEGFC`,0.000700780542340045,0.00117314881094409,0.00219298245614035
`Expression Public 25Q3 TNFRSF1B`,0.000688632583180637,0.0070985445001193,0.00804093567251462
`Expression Public 25Q3 RUNX3`,0.000688504684654479,0.00254513640340412,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 EGFR`,0.000688389517779105,0.00101407778573133,0.000730994152046784
`Expression Public 25Q3 XRCC2`,0.000682382433930232,0.00145152310506641,0.00146198830409357
`Expression Public 25Q3 CCNE2`,0.000675272789123498,0.00125268432355047,0.00219298245614035
`Expression Public 25Q3 EXO1`,0.000669791849837294,0.00365863357989342,0.00365497076023392
`Expression Public 25Q3 SOX2`,0.000653686966366626,0.0037580529706514,0.0043859649122807
`Expression Public 25Q3 JDP2`,0.000632125224617809,0.00395689175216734,0.0043859649122807
`Expression Public 25Q3 GATA3`,0.000627914904079811,0.00230652986558498,0.00292397660818713
`Expression Public 25Q3 IL7R`,0.000617240906319694,0.00127256820170206,0.00146198830409357
`Expression Public 25Q3 TIMP1`,0.000604256695960672,0.00196850393700787,0.00292397660818713
`Expression Public 25Q3 MAPK8`,0.000597191939316986,0.00467271136562475,0.0043859649122807
`Expression Public 25Q3 VEGFB`,0.000575961293240833,0.00353933031098385,0.0043859649122807
`Omics Absolute CN Gene Public 24Q4 RHEB`,0.000551261199573853,0.00526922771017259,0.0043859649122807
`Omics Absolute CN Gene Public 24Q4 EZH2`,0.00054820021971631,0.000914658394973356,0.000730994152046784
`Expression Public 25Q3 IDH2`,0.000495976479623849,0.00654179591187465,0.00584795321637427
`Expression Public 25Q3 PRKAR1A`,0.000486095190817666,0.000735703491609003,0.000730994152046784
`Expression Public 25Q3 PTEN`,0.000477966395553775,0.00226676210928179,0.00219298245614035
`Expression Public 25Q3 HIP1`,0.000423898348528799,0.000278374294122326,0.000730994152046784
`Expression Public 25Q3 FANCA`,0.000402982028722421,0.000954426151276545,0.00146198830409357
`Expression Public 25Q3 ATF3`,0.000392060200285765,0.000238606537819136,0.000730994152046784
`Expression Public 25Q3 AKT2`,0.000391659226038371,0.000835122882366977,0.00146198830409357
`Expression Public 25Q3 FYN`,0.000382212741294521,0.00153105861767279,0.00219298245614035
`Expression Public 25Q3 NFKB2`,0.000344829922759075,0.00139187147061163,0.00292397660818713
`Expression Public 25Q3 IL6R`,0.000341890002712411,0.00244571701264615,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 PSEN2`,0.000326957376893609,0.000417561441183489,0.000730994152046784
`Expression Public 25Q3 ETV6`,0.000283571130311872,0.00129245207985365,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 FGFR2`,0.000265548805668974,0.000596516344547841,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 KDR`,0.000259318699674517,0.000417561441183489,0.000730994152046784
`Expression Public 25Q3 RUNX1`,0.000256142789386543,0.00163047800843076,0.00146198830409357
`Expression Public 25Q3 RAD51`,0.000243872333558523,0.00501073729420186,0.00584795321637427
`Expression Public 25Q3 MED13`,0.00022609152833099,0.000874890638670166,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 BRAF`,0.000225928817833975,0.000497096953789867,0.000730994152046784
`Expression Public 25Q3 RASSF5`,0.000219329639471374,0.00292293008828442,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 INPP4A`,0.000204828907623297,0.00093454227312495,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 IDH2`,0.00020386150223254,0.0011333810546409,0.00146198830409357
`Expression Public 25Q3 CDK6`,0.000199984914637726,0.0011134971764893,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 PLCB1`,0.000193466727762181,0.00153105861767279,0.00146198830409357
`Expression Public 25Q3 IGF1R`,0.000187950485427162,0.00656167979002625,0.00657894736842105
`Expression Public 25Q3 TGFBR1`,0.000187617934708693,0.00248548476894934,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 RHOC`,0.000184317654380636,0.00308200111349718,0.00292397660818713
`Expression Public 25Q3 BIRC3`,0.000169156931944009,0.00381770460510618,0.0043859649122807
`Expression Public 25Q3 FOXO1`,0.000161961257554122,0.00397677563031894,0.00511695906432749
`Expression Public 25Q3 CDKN2A`,0.00014312562596513,0.00167024576473395,0.00292397660818713
`Expression Public 25Q3 WT1`,0.000142281890373663,0.00127256820170206,0.00219298245614035
`Expression Public 25Q3 UBE2C`,0.000136251825895126,0.00228664598743339,0.00365497076023392
`Expression Public 25Q3 PIK3R2`,0.000134552396054492,0.00119303268909568,0.00146198830409357
`Expression Public 25Q3 CRKL`,0.000133867815191857,0.00415573053368329,0.0043859649122807
`Expression Public 25Q3 IL6`,0.000125248678586108,0.00212757496222063,0.00146198830409357
`Expression Public 25Q3 CCNE1`,0.000110050952515882,0.00222699435297861,0.00292397660818713
